filename,unique_id,Total,chromosome,ecDNA,MIA_total,TP,TP_partial,FN,FP,ref_total
NCIH2170_TOTAL_HER2_R1_G1_2404_125_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_125_Merge(RGB),193,4,189,144,59,42,92,43,193
NCIH2170_TOTAL_HER2_R1_G2_24_10_60_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_60_Merge(RGB),267,0,267,81,56,18,193,7,267
NCIH2170_LOW_HER2_R1_G1_2404_53_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_53_Merge(RGB),83,7,76,34,19,8,56,7,83
NCIH2170_LOW_HER2_R1_G1_2404_52_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_52_Merge(RGB),123,14,109,74,56,11,56,7,123
NCIH2170_HIGH_HER2_R1_G2_24_10_73_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_73_Merge(RGB),121,4,117,68,24,27,70,17,121
NCIH2170_TOTAL_HER2_R1_G1_2404_1_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_1_Merge(RGB),525,34,491,292,172,70,283,50,525
NCIH2170_TOTAL_HER2_R1_G1_2404_129_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_129_Merge(RGB),173,8,165,98,53,27,93,18,173
NCIH2170_TOTAL_HER2_R1_G2_24_10_8_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_8_Merge(RGB),100,1,99,97,16,37,47,44,100
NCIH2170_HIGH_HER2_R1_G2_24_10_2_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_2_Merge(RGB),359,6,353,143,78,37,244,28,359
NCIH2170_LOW_HER2_R1_G0_2501_33_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_33,254,9,245,52,23,25,206,4,254
NCIH2170_TOTAL_HER2_R1_G0_2501_116_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_116,235,0,235,64,21,38,176,5,235
NCIH2170_TOTAL_HER2_R1_G1_2404_44_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_44_Merge(RGB),148,6,142,148,94,21,33,33,148
NCIH2170_TOTAL_HER2_R1_G0_2501_49_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_49,81,0,81,12,5,7,69,0,81
NCIH2170_HIGH_HER2_R1_G0_2501_67_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_67,240,0,240,94,46,41,153,7,240
NCIH2170_HIGH_HER2_R1_G2_24_10_119_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_119_Merge(RGB),280,0,280,177,49,76,155,52,280
NCIH2170_LOW_HER2_R1_G2_24_10_68_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_68_Merge(RGB),59,0,59,44,19,14,26,11,59
NCIH2170_TOTAL_HER2_R1_G2_24_10_87_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_87_Merge(RGB),272,0,272,89,67,16,189,6,272
NCIH2170_TOTAL_HER2_R1_G1_2404_121_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_121_Merge(RGB),286,5,281,205,111,49,126,45,286
NCIH2170_LOW_HER2_R1_G1_2404_2_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_2_Merge(RGB),465,41,424,118,36,50,379,32,465
NCIH2170_LOW_HER2_R1_G2_24_10_77_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_77_Merge(RGB),299,1,298,70,45,17,237,8,299
NCIH2170_LOW_HER2_R1_G0_2501_86_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_86,254,12,242,74,25,45,184,4,254
NCIH2170_HIGH_HER2_R1_G0_2501_64_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_64,361,2,359,142,50,65,246,27,361
NCIH2170_HIGH_HER2_R1_G0_2501_74_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_74,157,7,150,64,21,32,104,11,157
NCIH2170_HIGH_HER2_R1_G2_24_10_39_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_39_Merge(RGB),71,11,60,32,21,7,43,4,71
NCIH2170_LOW_HER2_R1_G0_2501_68_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_68,82,7,75,16,5,4,73,7,82
NCIH2170_TOTAL_HER2_R1_G1_2404_126_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_126_Merge(RGB),140,17,123,99,63,13,64,23,140
NCIH2170_TOTAL_HER2_R1_G1_2404_84_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_84_Merge(RGB),120,1,119,103,43,23,54,37,120
NCIH2170_TOTAL_HER2_R1_G0_2501_48_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_48,145,7,138,15,8,5,132,2,145
NCIH2170_TOTAL_HER2_R1_G1_2404_87_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_87_Merge(RGB),144,0,144,86,40,21,83,25,144
NCIH2170_LOW_HER2_R1_G0_2501_45_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_45,92,26,66,10,5,4,83,1,92
NCIH2170_HIGH_HER2_R1_G1_2404_S2_46_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_46_Merge(RGB),560,5,555,145,66,60,434,19,560
NCIH2170_HIGH_HER2_R1_G1_2404_S2_80_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_80_Merge(RGB),129,15,114,52,17,23,89,12,129
NCIH2170_HIGH_HER2_R1_G0_2501_119_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_119,157,12,145,30,4,25,128,1,157
NCIH2170_TOTAL_HER2_R1_G0_2501_97_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_97,272,0,272,56,19,35,218,2,272
NCIH2170_TOTAL_HER2_R1_G1_2404_70_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_70_Merge(RGB),319,44,275,76,29,30,260,17,319
NCIH2170_TOTAL_HER2_R1_G1_2404_39_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_39_Merge(RGB),152,0,152,125,39,39,74,47,152
NCIH2170_HIGH_HER2_R1_G0_2501_81_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_81,124,2,122,83,37,23,64,23,124
NCIH2170_TOTAL_HER2_R1_G2_24_10_22_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_22_Merge(RGB),282,4,278,82,43,34,205,5,282
NCIH2170_HIGH_HER2_R1_G2_24_10_3_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_3_Merge(RGB),337,9,328,119,59,41,237,19,337
NCIH2170_TOTAL_HER2_R1_G0_2501_21B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_21B,129,2,127,88,31,42,56,15,129
NCIH2170_TOTAL_HER2_R1_G0_2501_71_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_71,88,0,88,37,12,15,61,10,88
NCIH2170_LOW_HER2_R1_G1_2404_25_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_25_Merge(RGB),65,0,65,12,6,4,55,2,65
NCIH2170_HIGH_HER2_R1_G1_2404_S2_96_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_96_Merge(RGB),263,10,253,116,73,32,158,11,263
