filename,unique_id,Total,chromosome,ecDNA,MIA_total,TP,TP_partial,FN,FP,ref_total
NCIH2170_HIGH_HER2_R1_G2_24_10_27_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_27_Merge(RGB),204,1,203,98,55,26,123,17,204
NCIH2170_HIGH_HER2_R1_G2_24_10_20_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_20_Merge(RGB),486,15,471,111,48,58,380,5,486
NCIH2170_HIGH_HER2_R1_G0_2501_24_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_24,155,21,134,27,10,14,131,3,155
NCIH2170_HIGH_HER2_R1_G2_24_10_15A_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_15A_Merge(RGB),398,21,377,34,11,22,365,1,398
NCIH2170_HIGH_HER2_R1_G0_2501_122_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_122,205,5,200,75,28,38,139,9,205
NCIH2170_LOW_HER2_R1_G0_2501_19_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_19,428,3,425,136,43,71,314,22,428
NCIH2170_TOTAL_HER2_R1_G0_2501_98_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_98,233,0,233,82,18,38,177,26,233
NCIH2170_HIGH_HER2_R1_G1_2404_S2_100_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_100_Merge(RGB),157,0,157,103,57,24,76,22,157
NCIH2170_TOTAL_HER2_R1_G1_2404_46_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_46_Merge(RGB),266,11,255,196,118,35,113,43,266
NCIH2170_HIGH_HER2_R1_G1_2404_S2_79_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_79_Merge(RGB),155,8,147,72,40,21,94,11,155
NCIH2170_LOW_HER2_R1_G0_2501_72_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_72,273,4,269,117,25,78,170,14,273
NCIH2170_HIGH_HER2_R1_G1_2404_S2_7_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_7_Merge(RGB),190,8,182,114,63,34,93,17,190
NCIH2170_LOW_HER2_R1_G0_2501_75_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_75,232,1,231,73,18,45,169,10,232
NCIH2170_LOW_HER2_R1_G1_2404_8_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_8_Merge(RGB),113,0,113,24,8,10,95,6,113
NCIH2170_HIGH_HER2_R1_G2_24_10_76_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_76_Merge(RGB),316,28,288,95,35,45,236,15,316
NCIH2170_TOTAL_HER2_R1_G1_2404_105_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_105_Merge(RGB),108,4,104,78,34,16,58,28,108
NCIH2170_TOTAL_HER2_R1_G0_2501_15_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_15,182,2,180,46,15,24,143,7,182
NCIH2170_HIGH_HER2_R1_G1_2404_S2_35_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_35_Merge(RGB),130,19,111,42,22,15,93,5,130
NCIH2170_LOW_HER2_R1_G2_24_10_90_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_90_Merge(RGB),388,11,377,103,35,55,298,13,388
NCIH2170_TOTAL_HER2_R1_G2_24_10_14_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_14_Merge(RGB),120,2,118,68,38,17,65,13,120
NCIH2170_HIGH_HER2_R1_G1_2404_S2_40_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_40_Merge(RGB),177,0,177,72,42,27,108,3,177
NCIH2170_HIGH_HER2_R1_G2_24_10_14_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_14_Merge(RGB),375,7,368,142,44,75,256,23,375
NCIH2170_HIGH_HER2_R1_G1_2404_S2_23_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_23_Merge(RGB),327,3,324,129,62,48,217,19,327
NCIH2170_TOTAL_HER2_R1_G0_2501_114B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_114B,164,4,160,61,23,29,112,9,164
NCIH2170_LOW_HER2_R1_G1_2404_77_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_77_Merge(RGB),138,3,135,100,61,17,60,22,138
NCIH2170_LOW_HER2_R1_G2_24_10_9_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_9_Merge(RGB),236,2,234,119,79,30,127,10,236
NCIH2170_HIGH_HER2_R1_G0_2501_111_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_111,307,2,305,83,24,53,230,6,307
NCIH2170_LOW_HER2_R1_G2_24_10_91_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_91_Merge(RGB),177,19,158,51,22,20,135,9,177
NCIH2170_LOW_HER2_R1_G1_2404_75_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_75_Merge(RGB),472,6,466,152,63,72,337,17,472
NCIH2170_LOW_HER2_R1_G0_2501_10_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_10,157,13,144,41,3,23,131,15,157
NCIH2170_HIGH_HER2_R1_G0_2501_38_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_38,138,3,135,36,9,19,110,8,138
NCIH2170_HIGH_HER2_R1_G1_2404_S2_112_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_112_Merge(RGB),289,9,280,157,50,57,182,50,289
NCIH2170_HIGH_HER2_R1_G1_2404_S2_124_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_124_Merge(RGB),51,1,50,41,23,12,16,6,51
NCIH2170_TOTAL_HER2_R1_G0_2501_8_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_8,193,8,185,39,2,20,171,17,193
NCIH2170_LOW_HER2_R1_G0_2501_88_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_88,357,5,352,97,41,47,269,9,357
NCIH2170_TOTAL_HER2_R1_G0_2501_122_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_122,91,0,91,39,11,21,59,7,91
NCIH2170_LOW_HER2_R1_G2_24_10_18_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_18_Merge(RGB),239,4,235,67,29,25,185,13,239
NCIH2170_HIGH_HER2_R1_G1_2404_S2_13_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_13_Merge(RGB),478,28,450,190,83,74,321,33,478
NCIH2170_TOTAL_HER2_R1_G1_2404_45_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_45_Merge(RGB),46,2,44,36,15,11,20,10,46
NCIH2170_LOW_HER2_R1_G2_24_10_112_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_112_Merge(RGB),230,25,205,59,22,27,181,10,230
NCIH2170_LOW_HER2_R1_G0_2501_27_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_27,188,9,179,29,10,18,160,1,188
NCIH2170_HIGH_HER2_R1_G1_2404_S2_5_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_5_Merge(RGB),352,0,352,296,148,76,128,72,352
NCIH2170_TOTAL_HER2_R1_G0_2501_64_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_64,170,1,169,53,24,21,125,8,170
NCIH2170_HIGH_HER2_R1_G0_2501_6_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_6,237,3,234,94,1,32,204,61,237
NCIH2170_LOW_HER2_R1_G2_24_10_110_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_110_Merge(RGB),249,7,242,168,30,71,148,67,249
NCIH2170_TOTAL_HER2_R1_G2_24_10_124_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_124_Merge(RGB),225,0,225,66,41,18,166,7,225
NCIH2170_TOTAL_HER2_R1_G1_2404_101_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_101_Merge(RGB),261,97,164,48,20,26,215,2,261
NCIH2170_HIGH_HER2_R1_G0_2501_61_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_61,287,0,287,67,27,35,225,5,287
NCIH2170_LOW_HER2_R1_G0_2501_89_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_89,70,14,56,40,11,12,47,17,70
NCIH2170_LOW_HER2_R1_G0_2501_9_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_9,120,2,118,27,0,3,117,24,120
NCIH2170_LOW_HER2_R1_G2_24_10_10_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_10_Merge(RGB),163,9,154,47,23,14,126,10,163
NCIH2170_HIGH_HER2_R1_G2_24_10_81_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_81_Merge(RGB),350,3,347,129,44,67,239,18,350
NCIH2170_TOTAL_HER2_R1_G2_24_10_13_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_13_Merge(RGB),197,11,186,72,25,32,140,15,197
NCIH2170_LOW_HER2_R1_G1_2404_61_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_61_Merge(RGB),159,2,157,97,64,19,76,14,159
NCIH2170_LOW_HER2_R1_G1_2404_7_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_7_Merge(RGB),402,0,402,236,146,55,201,35,402
NCIH2170_HIGH_HER2_R1_G1_2404_S2_22_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_22_Merge(RGB),111,4,107,54,34,11,66,9,111
NCIH2170_LOW_HER2_R1_G1_2404_40_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_40_Merge(RGB),393,3,390,142,87,35,271,20,393
NCIH2170_TOTAL_HER2_R1_G2_24_10_67_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_67_Merge(RGB),486,8,478,171,72,75,339,24,486
NCIH2170_HIGH_HER2_R1_G0_2501_80_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_80,116,7,109,59,27,26,63,6,116
NCIH2170_TOTAL_HER2_R1_G0_2501_42_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_42,400,3,397,90,22,64,314,4,400
NCIH2170_TOTAL_HER2_R1_G1_2404_85_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_85_Merge(RGB),235,2,233,110,53,33,149,24,235
NCIH2170_TOTAL_HER2_R1_G0_2501_51_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_51,138,0,138,97,40,40,58,17,138
NCIH2170_HIGH_HER2_R1_G2_24_10_5_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_5_Merge(RGB),254,8,246,98,54,26,174,18,254
NCIH2170_TOTAL_HER2_R1_G1_2404_67_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_67_Merge(RGB),262,0,262,85,53,22,187,10,262
NCIH2170_TOTAL_HER2_R1_G2_24_10_97_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_97_Merge(RGB),48,0,48,68,15,11,22,42,48
NCIH2170_HIGH_HER2_R1_G2_24_10_105A_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_105A_Merge(RGB),98,10,88,26,6,16,76,4,98
NCIH2170_HIGH_HER2_R1_G1_2404_S2_104_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_104_Merge(RGB),282,0,282,140,71,36,175,33,282
NCIH2170_TOTAL_HER2_R1_G1_2404_24_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_24_Merge(RGB),101,3,98,67,37,16,48,14,101
NCIH2170_HIGH_HER2_R1_G2_24_10_114_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_114_Merge(RGB),209,4,205,60,21,25,163,14,209
NCIH2170_TOTAL_HER2_R1_G2_24_10_48_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_48_Merge(RGB),183,0,183,81,50,18,115,13,183
NCIH2170_TOTAL_HER2_R1_G0_2501_18_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_18,155,13,142,33,14,17,124,2,155
NCIH2170_LOW_HER2_R1_G2_24_10_117_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_117_Merge(RGB),295,5,290,73,42,26,227,5,295
NCIH2170_TOTAL_HER2_R1_G2_24_10_107_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_107_Merge(RGB),134,0,134,87,22,37,75,28,134
NCIH2170_LOW_HER2_R1_G1_2404_78_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_78_Merge(RGB),169,7,162,116,36,43,90,37,169
NCIH2170_HIGH_HER2_R1_G0_2501_63_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_63,339,28,311,83,34,45,260,4,339
NCIH2170_LOW_HER2_R1_G2_24_10_85_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_85_Merge(RGB),344,1,343,77,53,18,273,6,344
NCIH2170_TOTAL_HER2_R1_G1_2404_43_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_43_Merge(RGB),182,5,177,108,66,18,98,24,182
NCIH2170_HIGH_HER2_R1_G0_2501_45_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_45,147,13,134,32,15,12,120,5,147
NCIH2170_TOTAL_HER2_R1_G1_2404_96_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_96_Merge(RGB),188,13,175,115,51,23,114,41,188
NCIH2170_HIGH_HER2_R1_G1_2404_S2_128_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_128_Merge(RGB),189,9,180,120,82,25,82,13,189
NCIH2170_HIGH_HER2_R1_G0_2501_3_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_3,192,8,184,64,1,22,169,41,192
NCIH2170_LOW_HER2_R1_G2_24_10_80_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_80_Merge(RGB),137,16,121,75,42,23,72,10,137
NCIH2170_HIGH_HER2_R1_G0_2501_21_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_21,117,5,112,15,6,9,102,0,117
NCIH2170_LOW_HER2_R1_G2_24_10_11A_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_11A_Merge(RGB),141,13,128,70,36,21,84,13,141
NCIH2170_LOW_HER2_R1_G0_2501_94_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_94,51,0,51,9,2,6,43,1,51
NCIH2170_TOTAL_HER2_R1_G2_24_10_39_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_39_Merge(RGB),245,16,229,116,45,32,168,39,245
NCIH2170_HIGH_HER2_R1_G0_2501_126_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_126,141,3,138,46,17,23,101,6,141
NCIH2170_LOW_HER2_R1_G2_24_10_109_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_109_Merge(RGB),124,3,121,33,18,10,96,5,124
NCIH2170_HIGH_HER2_R1_G2_24_10_106_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_106_Merge(RGB),483,14,469,118,61,45,377,12,483
NCIH2170_TOTAL_HER2_R1_G1_2404_107_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_107_Merge(RGB),63,1,62,42,24,9,30,9,63
NCIH2170_LOW_HER2_R1_G0_2501_122_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_122,68,1,67,35,18,12,38,5,68
NCIH2170_HIGH_HER2_R1_G1_2404_S2_6_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_6_Merge(RGB),141,0,141,59,25,26,90,8,141
NCIH2170_HIGH_HER2_R1_G0_2501_13_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_13,177,4,173,88,34,38,105,16,177
NCIH2170_HIGH_HER2_R1_G0_2501_124_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_124,330,4,326,85,23,56,251,6,330
NCIH2170_LOW_HER2_R1_G1_2404_43_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_43_Merge(RGB),75,1,74,64,39,10,26,15,75
NCIH2170_LOW_HER2_R1_G0_2501_8_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_8,97,0,97,74,1,14,82,59,97
NCIH2170_LOW_HER2_R1_G0_2501_87_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_87,237,5,232,56,21,30,186,5,237
NCIH2170_LOW_HER2_R1_G1_2404_24_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_24_Merge(RGB),222,4,218,60,16,34,172,10,222
NCIH2170_LOW_HER2_R1_G2_24_10_114_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_114_Merge(RGB),277,3,274,80,38,27,212,15,277
NCIH2170_LOW_HER2_R1_G1_2404_34_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_34_Merge(RGB),140,3,137,115,68,22,50,25,140
NCIH2170_TOTAL_HER2_R1_G0_2501_89_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_89,270,1,269,62,18,39,213,5,270
NCIH2170_LOW_HER2_R1_G2_24_10_93A_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_93A_Merge(RGB),92,2,90,34,16,11,65,7,92
NCIH2170_LOW_HER2_R1_G2_24_10_73_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_73_Merge(RGB),131,10,121,24,11,9,111,4,131
NCIH2170_TOTAL_HER2_R1_G0_2501_79_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_79,134,0,134,40,25,11,98,4,134
NCIH2170_LOW_HER2_R1_G2_24_10_41_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_41_Merge(RGB),370,1,369,138,57,55,258,26,370
NCIH2170_HIGH_HER2_R1_G1_2404_S2_109_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_109_Merge(RGB),215,0,215,106,76,15,124,15,215
NCIH2170_HIGH_HER2_R1_G0_2501_112_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_112,431,25,406,164,62,97,272,5,431
NCIH2170_TOTAL_HER2_R1_G2_24_10_59_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_59_Merge(RGB),585,0,585,241,80,122,383,39,585
NCIH2170_LOW_HER2_R1_G2_24_10_29_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_29_Merge(RGB),248,3,245,72,41,23,184,8,248
NCIH2170_TOTAL_HER2_R1_G0_2501_26A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_26A,190,0,190,78,36,37,117,5,190
NCIH2170_HIGH_HER2_R1_G2_24_10_55_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_55_Merge(RGB),216,10,206,69,35,17,164,17,216
NCIH2170_LOW_HER2_R1_G1_2404_45_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_45_Merge(RGB),121,21,100,53,30,14,77,9,121
NCIH2170_HIGH_HER2_R1_G0_2501_78_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_78,281,5,276,18,6,11,264,1,281
NCIH2170_TOTAL_HER2_R1_G1_2404_88_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_88_Merge(RGB),203,1,202,60,33,18,152,9,203
NCIH2170_HIGH_HER2_R1_G2_24_10_38_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_38_Merge(RGB),162,3,159,39,12,24,126,3,162
NCIH2170_LOW_HER2_R1_G0_2501_29_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_29,143,3,140,38,24,11,108,3,143
NCIH2170_LOW_HER2_R1_G1_2404_37_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_37_Merge(RGB),324,5,319,91,50,30,244,11,324
NCIH2170_LOW_HER2_R1_G0_2501_113_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_113,113,0,113,30,14,12,87,4,113
NCIH2170_LOW_HER2_R1_G2_24_10_70_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_70_Merge(RGB),200,2,198,67,33,30,137,4,200
NCIH2170_TOTAL_HER2_R1_G2_24_10_113_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_113_Merge(RGB),182,1,181,63,31,18,133,14,182
NCIH2170_TOTAL_HER2_R1_G2_24_10_83_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_83_Merge(RGB),252,0,252,44,18,22,212,4,252
NCIH2170_TOTAL_HER2_R1_G0_2501_91_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_91,227,1,226,59,15,37,175,7,227
NCIH2170_HIGH_HER2_R1_G2_24_10_28_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_28_Merge(RGB),123,6,117,35,14,13,96,8,123
NCIH2170_TOTAL_HER2_R1_G0_2501_45_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_45,205,9,196,49,11,36,158,2,205
NCIH2170_LOW_HER2_R1_G1_2404_66_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_66_Merge(RGB),250,2,248,90,53,31,166,6,250
NCIH2170_HIGH_HER2_R1_G1_2404_S2_116_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_116_Merge(RGB),225,0,225,75,43,28,154,4,225
NCIH2170_HIGH_HER2_R1_G1_2404_S2_34_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_34_Merge(RGB),328,0,328,227,107,60,161,60,328
NCIH2170_HIGH_HER2_R1_G2_24_10_103_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_103_Merge(RGB),187,9,178,43,26,14,147,3,187
NCIH2170_HIGH_HER2_R1_G2_24_10_51_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_51_Merge(RGB),95,10,85,29,13,12,70,4,95
NCIH2170_TOTAL_HER2_R1_G1_2404_98_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_98_Merge(RGB),71,0,71,91,36,11,24,44,71
NCIH2170_TOTAL_HER2_R1_G0_2501_101_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_101,112,0,112,32,14,18,80,0,112
NCIH2170_TOTAL_HER2_R1_G1_2404_4_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_4_Merge(RGB),170,0,170,109,39,34,97,36,170
NCIH2170_TOTAL_HER2_R1_G0_2501_54_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_54,142,9,133,28,7,17,118,4,142
NCIH2170_LOW_HER2_R1_G2_24_10_61_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_61_Merge(RGB),99,0,99,61,40,13,46,8,99
NCIH2170_HIGH_HER2_R1_G0_2501_113_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_113,133,10,123,107,51,33,49,23,133
NCIH2170_HIGH_HER2_R1_G0_2501_7_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_7,383,5,378,37,0,20,363,17,383
NCIH2170_HIGH_HER2_R1_G2_24_10_86_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_86_Merge(RGB),246,1,245,102,41,40,165,21,246
NCIH2170_HIGH_HER2_R1_G1_2404_S2_30_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_30_Merge(RGB),116,22,94,16,8,8,100,0,116
NCIH2170_TOTAL_HER2_R1_G0_2501_24_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_24,225,0,225,59,15,40,170,4,225
NCIH2170_TOTAL_HER2_R1_G1_2404_2_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_2_Merge(RGB),59,6,53,20,14,6,39,0,59
NCIH2170_HIGH_HER2_R1_G2_24_10_35_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_35_Merge(RGB),190,3,187,60,34,18,138,8,190
NCIH2170_LOW_HER2_R1_G0_2501_66_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_66,102,3,99,33,15,14,73,4,102
NCIH2170_TOTAL_HER2_R1_G2_24_10_98_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_98_Merge(RGB),589,1,588,179,89,74,426,16,589
NCIH2170_LOW_HER2_R1_G2_24_10_121_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_121_Merge(RGB),194,1,193,62,25,25,144,12,194
NCIH2170_LOW_HER2_R1_G2_24_10_72_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_72_Merge(RGB),82,16,66,48,29,9,44,10,82
NCIH2170_TOTAL_HER2_R1_G0_2501_26B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_26B,180,0,180,37,10,26,144,1,180
NCIH2170_LOW_HER2_R1_G0_2501_116_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_116,127,6,121,18,6,9,112,3,127
NCIH2170_TOTAL_HER2_R1_G2_24_10_111_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_111_Merge(RGB),326,0,326,199,71,65,190,63,326
NCIH2170_LOW_HER2_R1_G0_2501_78_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_78,211,10,201,45,17,26,168,2,211
NCIH2170_LOW_HER2_R1_G2_24_10_67_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_67_Merge(RGB),128,22,106,24,9,10,109,5,128
NCIH2170_TOTAL_HER2_R1_G2_24_10_38_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_38_Merge(RGB),293,19,274,51,12,36,245,3,293
NCIH2170_TOTAL_HER2_R1_G0_2501_100_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_100,104,8,96,13,8,3,93,2,104
NCIH2170_TOTAL_HER2_R1_G1_2404_13_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_13_Merge(RGB),40,9,31,9,4,1,35,4,40
