filename,unique_id,Total,chromosome,ecDNA
NCIH2170_HIGH_HER2_R1_G0_2501_111_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_111,307,2,305
NCIH2170_LOW_HER2_R1_G2_24_10_91_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_91_Merge(RGB),177,19,158
NCIH2170_LOW_HER2_R1_G1_2404_75_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_75_Merge(RGB),472,6,466
NCIH2170_LOW_HER2_R1_G0_2501_10_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_10,157,13,144
NCIH2170_HIGH_HER2_R1_G0_2501_38_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_38,138,3,135
NCIH2170_HIGH_HER2_R1_G1_2404_S2_112_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_112_Merge(RGB),289,9,280
NCIH2170_HIGH_HER2_R1_G1_2404_S2_124_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_124_Merge(RGB),51,1,50
NCIH2170_TOTAL_HER2_R1_G0_2501_8_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_8,193,8,185
NCIH2170_LOW_HER2_R1_G0_2501_88_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_88,357,5,352
NCIH2170_TOTAL_HER2_R1_G0_2501_122_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_122,91,0,91
NCIH2170_LOW_HER2_R1_G2_24_10_18_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_18_Merge(RGB),239,4,235
NCIH2170_HIGH_HER2_R1_G1_2404_S2_13_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_13_Merge(RGB),478,28,450
NCIH2170_TOTAL_HER2_R1_G1_2404_45_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_45_Merge(RGB),46,2,44
NCIH2170_LOW_HER2_R1_G2_24_10_112_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_112_Merge(RGB),230,25,205
NCIH2170_LOW_HER2_R1_G0_2501_27_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_27,188,9,179
NCIH2170_HIGH_HER2_R1_G1_2404_S2_5_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_5_Merge(RGB),352,0,352
NCIH2170_TOTAL_HER2_R1_G0_2501_64_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_64,170,1,169
NCIH2170_HIGH_HER2_R1_G0_2501_6_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_6,237,3,234
NCIH2170_LOW_HER2_R1_G2_24_10_110_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_110_Merge(RGB),249,7,242
NCIH2170_TOTAL_HER2_R1_G2_24_10_124_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_124_Merge(RGB),225,0,225
NCIH2170_TOTAL_HER2_R1_G1_2404_101_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_101_Merge(RGB),261,97,164
NCIH2170_HIGH_HER2_R1_G0_2501_61_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_61,287,0,287
NCIH2170_LOW_HER2_R1_G0_2501_89_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_89,70,14,56
NCIH2170_LOW_HER2_R1_G0_2501_9_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_9,120,2,118
NCIH2170_LOW_HER2_R1_G2_24_10_10_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_10_Merge(RGB),163,9,154
NCIH2170_HIGH_HER2_R1_G2_24_10_81_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_81_Merge(RGB),350,3,347
NCIH2170_TOTAL_HER2_R1_G2_24_10_13_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_13_Merge(RGB),197,11,186
NCIH2170_LOW_HER2_R1_G1_2404_61_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_61_Merge(RGB),159,2,157
NCIH2170_LOW_HER2_R1_G1_2404_7_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_7_Merge(RGB),402,0,402
NCIH2170_HIGH_HER2_R1_G1_2404_S2_22_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_22_Merge(RGB),111,4,107
NCIH2170_LOW_HER2_R1_G1_2404_40_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_40_Merge(RGB),393,3,390
NCIH2170_TOTAL_HER2_R1_G2_24_10_67_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_67_Merge(RGB),486,8,478
NCIH2170_HIGH_HER2_R1_G0_2501_80_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_80,116,7,109
NCIH2170_TOTAL_HER2_R1_G0_2501_42_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_42,400,3,397
NCIH2170_TOTAL_HER2_R1_G1_2404_85_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_85_Merge(RGB),235,2,233
NCIH2170_TOTAL_HER2_R1_G0_2501_51_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_51,138,0,138
NCIH2170_HIGH_HER2_R1_G2_24_10_5_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_5_Merge(RGB),254,8,246
NCIH2170_TOTAL_HER2_R1_G1_2404_67_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_67_Merge(RGB),262,0,262
NCIH2170_TOTAL_HER2_R1_G2_24_10_97_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_97_Merge(RGB),48,0,48
NCIH2170_HIGH_HER2_R1_G2_24_10_105A_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_105A_Merge(RGB),98,10,88
NCIH2170_HIGH_HER2_R1_G1_2404_S2_104_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_104_Merge(RGB),282,0,282
NCIH2170_TOTAL_HER2_R1_G1_2404_24_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_24_Merge(RGB),101,3,98
NCIH2170_HIGH_HER2_R1_G2_24_10_114_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_114_Merge(RGB),209,4,205
NCIH2170_TOTAL_HER2_R1_G2_24_10_48_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_48_Merge(RGB),183,0,183
NCIH2170_TOTAL_HER2_R1_G0_2501_18_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_18,155,13,142
NCIH2170_LOW_HER2_R1_G2_24_10_117_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_117_Merge(RGB),295,5,290
NCIH2170_TOTAL_HER2_R1_G2_24_10_107_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_107_Merge(RGB),134,0,134
NCIH2170_LOW_HER2_R1_G1_2404_78_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_78_Merge(RGB),169,7,162
NCIH2170_HIGH_HER2_R1_G0_2501_63_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_63,339,28,311
NCIH2170_LOW_HER2_R1_G2_24_10_85_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_85_Merge(RGB),344,1,343
NCIH2170_TOTAL_HER2_R1_G1_2404_43_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_43_Merge(RGB),182,5,177
NCIH2170_HIGH_HER2_R1_G0_2501_45_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_45,147,13,134
NCIH2170_TOTAL_HER2_R1_G1_2404_96_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_96_Merge(RGB),188,13,175
NCIH2170_HIGH_HER2_R1_G1_2404_S2_128_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_128_Merge(RGB),189,9,180
NCIH2170_HIGH_HER2_R1_G0_2501_3_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_3,192,8,184
NCIH2170_LOW_HER2_R1_G2_24_10_80_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_80_Merge(RGB),137,16,121
NCIH2170_HIGH_HER2_R1_G0_2501_21_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_21,117,5,112
NCIH2170_LOW_HER2_R1_G2_24_10_11A_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_11A_Merge(RGB),141,13,128
NCIH2170_LOW_HER2_R1_G0_2501_94_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_94,51,0,51
NCIH2170_TOTAL_HER2_R1_G2_24_10_39_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_39_Merge(RGB),245,16,229
NCIH2170_HIGH_HER2_R1_G0_2501_126_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_126,141,3,138
NCIH2170_LOW_HER2_R1_G2_24_10_109_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_109_Merge(RGB),124,3,121
NCIH2170_HIGH_HER2_R1_G2_24_10_106_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_106_Merge(RGB),483,14,469
NCIH2170_TOTAL_HER2_R1_G1_2404_107_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_107_Merge(RGB),63,1,62
NCIH2170_LOW_HER2_R1_G0_2501_122_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_122,68,1,67
NCIH2170_HIGH_HER2_R1_G1_2404_S2_6_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_6_Merge(RGB),141,0,141
NCIH2170_HIGH_HER2_R1_G0_2501_13_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_13,177,4,173
NCIH2170_HIGH_HER2_R1_G0_2501_124_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_124,330,4,326
NCIH2170_LOW_HER2_R1_G1_2404_43_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_43_Merge(RGB),75,1,74
NCIH2170_LOW_HER2_R1_G0_2501_8_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_8,97,0,97
NCIH2170_LOW_HER2_R1_G0_2501_87_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_87,237,5,232
NCIH2170_LOW_HER2_R1_G1_2404_24_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_24_Merge(RGB),222,4,218
NCIH2170_LOW_HER2_R1_G2_24_10_114_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_114_Merge(RGB),277,3,274
NCIH2170_LOW_HER2_R1_G1_2404_34_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_34_Merge(RGB),140,3,137
NCIH2170_TOTAL_HER2_R1_G0_2501_89_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_89,270,1,269
NCIH2170_LOW_HER2_R1_G2_24_10_93A_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_93A_Merge(RGB),92,2,90
NCIH2170_LOW_HER2_R1_G2_24_10_73_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_73_Merge(RGB),131,10,121
NCIH2170_TOTAL_HER2_R1_G0_2501_79_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_79,134,0,134
NCIH2170_LOW_HER2_R1_G2_24_10_41_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_41_Merge(RGB),370,1,369
NCIH2170_HIGH_HER2_R1_G1_2404_S2_109_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_109_Merge(RGB),215,0,215
NCIH2170_HIGH_HER2_R1_G0_2501_112_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_112,431,25,406
NCIH2170_TOTAL_HER2_R1_G2_24_10_59_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_59_Merge(RGB),585,0,585
NCIH2170_LOW_HER2_R1_G2_24_10_29_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_29_Merge(RGB),248,3,245
NCIH2170_TOTAL_HER2_R1_G0_2501_26A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_26A,190,0,190
NCIH2170_HIGH_HER2_R1_G2_24_10_55_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_55_Merge(RGB),216,10,206
NCIH2170_LOW_HER2_R1_G1_2404_45_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_45_Merge(RGB),121,21,100
NCIH2170_HIGH_HER2_R1_G0_2501_78_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_78,281,5,276
NCIH2170_TOTAL_HER2_R1_G1_2404_88_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_88_Merge(RGB),203,1,202
NCIH2170_HIGH_HER2_R1_G2_24_10_38_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_38_Merge(RGB),162,3,159
NCIH2170_LOW_HER2_R1_G0_2501_29_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_29,143,3,140
NCIH2170_LOW_HER2_R1_G1_2404_37_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_37_Merge(RGB),324,5,319
NCIH2170_LOW_HER2_R1_G0_2501_113_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_113,113,0,113
NCIH2170_LOW_HER2_R1_G2_24_10_70_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_70_Merge(RGB),200,2,198
NCIH2170_TOTAL_HER2_R1_G2_24_10_113_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_113_Merge(RGB),182,1,181
NCIH2170_TOTAL_HER2_R1_G2_24_10_83_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_83_Merge(RGB),252,0,252
NCIH2170_TOTAL_HER2_R1_G0_2501_91_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_91,227,1,226
NCIH2170_HIGH_HER2_R1_G2_24_10_28_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_28_Merge(RGB),123,6,117
NCIH2170_TOTAL_HER2_R1_G0_2501_45_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_45,205,9,196
NCIH2170_LOW_HER2_R1_G1_2404_66_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_66_Merge(RGB),250,2,248
NCIH2170_HIGH_HER2_R1_G1_2404_S2_116_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_116_Merge(RGB),225,0,225
NCIH2170_HIGH_HER2_R1_G1_2404_S2_34_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_34_Merge(RGB),328,0,328
NCIH2170_HIGH_HER2_R1_G2_24_10_103_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_103_Merge(RGB),187,9,178
NCIH2170_HIGH_HER2_R1_G2_24_10_51_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_51_Merge(RGB),95,10,85
NCIH2170_TOTAL_HER2_R1_G1_2404_98_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_98_Merge(RGB),71,0,71
NCIH2170_TOTAL_HER2_R1_G0_2501_101_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_101,112,0,112
NCIH2170_TOTAL_HER2_R1_G1_2404_4_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_4_Merge(RGB),170,0,170
NCIH2170_TOTAL_HER2_R1_G0_2501_54_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_54,142,9,133
NCIH2170_LOW_HER2_R1_G2_24_10_61_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_61_Merge(RGB),99,0,99
NCIH2170_HIGH_HER2_R1_G0_2501_113_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_113,133,10,123
NCIH2170_HIGH_HER2_R1_G0_2501_7_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_7,383,5,378
NCIH2170_HIGH_HER2_R1_G2_24_10_86_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_86_Merge(RGB),246,1,245
NCIH2170_HIGH_HER2_R1_G1_2404_S2_30_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_30_Merge(RGB),116,22,94
NCIH2170_TOTAL_HER2_R1_G0_2501_24_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_24,225,0,225
NCIH2170_TOTAL_HER2_R1_G1_2404_2_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_2_Merge(RGB),59,6,53
NCIH2170_HIGH_HER2_R1_G2_24_10_35_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_35_Merge(RGB),190,3,187
NCIH2170_LOW_HER2_R1_G0_2501_66_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_66,102,3,99
NCIH2170_TOTAL_HER2_R1_G2_24_10_98_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_98_Merge(RGB),589,1,588
NCIH2170_LOW_HER2_R1_G2_24_10_121_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_121_Merge(RGB),194,1,193
NCIH2170_LOW_HER2_R1_G2_24_10_72_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_72_Merge(RGB),82,16,66
NCIH2170_TOTAL_HER2_R1_G0_2501_26B_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_26B,180,0,180
NCIH2170_LOW_HER2_R1_G0_2501_116_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_116,127,6,121
NCIH2170_TOTAL_HER2_R1_G2_24_10_111_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_111_Merge(RGB),326,0,326
NCIH2170_LOW_HER2_R1_G0_2501_78_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_78,211,10,201
NCIH2170_LOW_HER2_R1_G2_24_10_67_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_67_Merge(RGB),128,22,106
NCIH2170_TOTAL_HER2_R1_G2_24_10_38_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_38_Merge(RGB),293,19,274
NCIH2170_TOTAL_HER2_R1_G0_2501_100_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_100,104,8,96
NCIH2170_TOTAL_HER2_R1_G1_2404_13_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_13_Merge(RGB),40,9,31
NCIH2170_HIGH_HER2_R1_G0_2501_46_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_46,116,4,112
NCIH2170_LOW_HER2_R1_G2_24_10_19_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_19_Merge(RGB),223,4,219
NCIH2170_HIGH_HER2_R1_G0_2501_47_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_47,55,2,53
NCIH2170_HIGH_HER2_R1_G0_2501_11_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_11,251,0,251
NCIH2170_HIGH_HER2_R1_G2_24_10_65_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_65_Merge(RGB),367,13,354
NCIH2170_LOW_HER2_R1_G1_2404_46_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_46_Merge(RGB),143,23,120
NCIH2170_LOW_HER2_R1_G2_24_10_3_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_3_Merge(RGB),142,5,137
NCIH2170_HIGH_HER2_R1_G2_24_10_105B_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_105B_Merge(RGB),155,5,150
NCIH2170_TOTAL_HER2_R1_G0_2501_119_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_119,159,5,154
NCIH2170_HIGH_HER2_R1_G2_24_10_17_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_17_Merge(RGB),546,7,539
NCIH2170_HIGH_HER2_R1_G2_24_10_123_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_123_Merge(RGB),137,5,132
NCIH2170_LOW_HER2_R1_G0_2501_12A_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_12A,105,12,93
NCIH2170_TOTAL_HER2_R1_G2_24_10_78_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_78_Merge(RGB),524,1,523
NCIH2170_LOW_HER2_R1_G1_2404_49_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_49_Merge(RGB),219,1,218
NCIH2170_TOTAL_HER2_R1_G1_2404_73_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_73_Merge(RGB),81,6,75
NCIH2170_HIGH_HER2_R1_G1_2404_S2_44_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_44_Merge(RGB),378,0,378
NCIH2170_HIGH_HER2_R1_G1_2404_S2_84_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_84_Merge(RGB),438,9,429
NCIH2170_HIGH_HER2_R1_G1_2404_S2_82_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_82_Merge(RGB),161,0,161
NCIH2170_TOTAL_HER2_R1_G1_2404_30_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_30_Merge(RGB),297,0,297
NCIH2170_HIGH_HER2_R1_G0_2501_105_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_105,144,0,144
NCIH2170_LOW_HER2_R1_G1_2404_33_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_33_Merge(RGB),232,3,229
NCIH2170_LOW_HER2_R1_G2_24_10_12_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_12_Merge(RGB),312,5,307
NCIH2170_HIGH_HER2_R1_G1_2404_S2_21_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_21_Merge(RGB),234,58,176
NCIH2170_HIGH_HER2_R1_G0_2501_31_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_31,147,1,146
NCIH2170_TOTAL_HER2_R1_G2_24_10_88_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_88_Merge(RGB),181,0,181
NCIH2170_LOW_HER2_R1_G0_2501_103_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_103,194,17,177
NCIH2170_LOW_HER2_R1_G1_2404_62_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_62_Merge(RGB),217,2,215
NCIH2170_TOTAL_HER2_R1_G2_24_10_54_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_54_Merge(RGB),272,19,253
NCIH2170_TOTAL_HER2_R1_G2_24_10_94_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_94_Merge(RGB),304,1,303
NCIH2170_LOW_HER2_R1_G2_24_10_64_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_64_Merge(RGB),597,8,589
NCIH2170_TOTAL_HER2_R1_G2_24_10_68_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_68_Merge(RGB),402,0,402
NCIH2170_HIGH_HER2_R1_G0_2501_76_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_76,131,12,119
NCIH2170_TOTAL_HER2_R1_G0_2501_109A_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_109A,255,0,255
NCIH2170_TOTAL_HER2_R1_G1_2404_114_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_114_Merge(RGB),221,4,217
NCIH2170_HIGH_HER2_R1_G1_2404_S2_25_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_25_Merge(RGB),122,5,117
NCIH2170_HIGH_HER2_R1_G2_24_10_97_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_97_Merge(RGB),202,42,160
NCIH2170_HIGH_HER2_R1_G0_2501_4_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_4,198,7,191
NCIH2170_HIGH_HER2_R1_G0_2501_104_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_104,281,14,267
NCIH2170_HIGH_HER2_R1_G2_24_10_70_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_70_Merge(RGB),115,3,112
NCIH2170_TOTAL_HER2_R1_G0_2501_7_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_7,154,15,139
NCIH2170_HIGH_HER2_R1_G0_2501_84_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_84,195,2,193
NCIH2170_TOTAL_HER2_R1_G2_24_10_99_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_99_Merge(RGB),561,2,559
NCIH2170_HIGH_HER2_R1_G1_2404_S2_26_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G1_2404_S2_26_Merge(RGB),419,14,405
NCIH2170_TOTAL_HER2_R1_G2_24_10_105_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_105_Merge(RGB),436,1,435
NCIH2170_LOW_HER2_R1_G0_2501_13_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_13,228,5,223
NCIH2170_LOW_HER2_R1_G2_24_10_14_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_14_Merge(RGB),89,9,80
NCIH2170_TOTAL_HER2_R1_G0_2501_108_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_108,178,0,178
NCIH2170_TOTAL_HER2_R1_G2_24_10_57_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_57_Merge(RGB),486,2,484
NCIH2170_LOW_HER2_R1_G2_24_10_58_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_58_Merge(RGB),703,0,703
NCIH2170_TOTAL_HER2_R1_G0_2501_5_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_5,126,9,117
