filename,unique_id,Total,chromosome,ecDNA
NCIH2170_TOTAL_HER2_R1_G1_2404_129_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_129_Merge(RGB),173,8,165
NCIH2170_TOTAL_HER2_R1_G2_24_10_8_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_8_Merge(RGB),100,1,99
NCIH2170_HIGH_HER2_R1_G2_24_10_2_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_2_Merge(RGB),359,6,353
NCIH2170_LOW_HER2_R1_G0_2501_33_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_33,254,9,245
NCIH2170_TOTAL_HER2_R1_G0_2501_116_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_116,235,0,235
NCIH2170_TOTAL_HER2_R1_G1_2404_44_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_44_Merge(RGB),148,6,142
NCIH2170_TOTAL_HER2_R1_G0_2501_49_Merge.tif (RGB).tif,NCIH2170_TOTAL_HER2_R1_G0_2501_49,81,0,81
NCIH2170_HIGH_HER2_R1_G0_2501_67_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_67,240,0,240
NCIH2170_HIGH_HER2_R1_G2_24_10_119_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_119_Merge(RGB),280,0,280
NCIH2170_LOW_HER2_R1_G2_24_10_68_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_68_Merge(RGB),59,0,59
NCIH2170_TOTAL_HER2_R1_G2_24_10_87_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G2_24_10_87_Merge(RGB),272,0,272
NCIH2170_TOTAL_HER2_R1_G1_2404_121_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_121_Merge(RGB),286,5,281
NCIH2170_LOW_HER2_R1_G1_2404_2_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G1_2404_2_Merge(RGB),465,41,424
NCIH2170_LOW_HER2_R1_G2_24_10_77_Merge(RGB).tif,NCIH2170_LOW_HER2_R1_G2_24_10_77_Merge(RGB),299,1,298
NCIH2170_LOW_HER2_R1_G0_2501_86_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_86,254,12,242
NCIH2170_HIGH_HER2_R1_G0_2501_64_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_64,361,2,359
NCIH2170_HIGH_HER2_R1_G0_2501_74_Merge.tif (RGB).tif,NCIH2170_HIGH_HER2_R1_G0_2501_74,157,7,150
NCIH2170_HIGH_HER2_R1_G2_24_10_39_Merge(RGB).tif,NCIH2170_HIGH_HER2_R1_G2_24_10_39_Merge(RGB),71,11,60
NCIH2170_LOW_HER2_R1_G0_2501_68_Merge.tif (RGB).tif,NCIH2170_LOW_HER2_R1_G0_2501_68,82,7,75
NCIH2170_TOTAL_HER2_R1_G1_2404_126_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_126_Merge(RGB),140,17,123
NCIH2170_TOTAL_HER2_R1_G1_2404_84_Merge(RGB).tif,NCIH2170_TOTAL_HER2_R1_G1_2404_84_Merge(RGB),120,1,119
